master_linkage_id,generic_name,category,dosage_text_length,has_dose_numbers,has_dose_keywords,text_too_short,dosage_text_sample,llm_raw_response
0055229c-4afb-57fe-8850-e2365c35f32c,LAMOTRIGINE,BAD_LLM_RESPONSE,26877,True,True,False,"2 DOSAGE AND ADMINISTRATION Dosing is based on concomitant medications, indication, and patient age. ( 2.1 , 2.2 , 2.3 , 2.4 ) To avoid an increased risk of rash, the recommended initial dose and subsequent dose escalations should not be exceeded. ( 2.1 ) Do not restart lamotrigine in patients who d",NOT_IN_CACHE
0161c009-37de-50c7-8e58-ce0edb895a54,CHLORPROMAZINE HYDROCHLORIDE,BAD_LLM_RESPONSE,4337,True,True,False,"DOSAGE AND ADMINISTRATION–ADULTS Adjust dosage to individual and the severity of his condition, recognizing that the milligram for milligram potency relationship among all dosage forms has not been precisely established clinically. It is important to increase dosage until symptoms are controlled. Do",NOT_IN_CACHE
019aafae-839b-5d9d-9ebd-915b9e7f0a34,Sertraline hydrochloride,BAD_LLM_RESPONSE,6513,True,True,False,"2.1 Dosage in Patients with MDD, OCD, PD, PTSD, and SAD The recommended initial dosage and maximum sertraline hydrochloride tablets dosage in patients with MDD, OCD, PD, PTSD, and SAD are displayed in Table 1 below. A dosage of 25 mg or 50 mg per day is the initial therapeutic dosage. For adults and",NOT_IN_CACHE
01dc789f-44aa-52bb-96c1-9554319bdfa5,LAMOTRIGINE,BAD_LLM_RESPONSE,27006,True,True,False,"2. DOSAGE AND ADMINISTRATION Dosing is based on concomitant medications, indication, and patient age. ( 2.1 , 2.2 , 2.3 , 2.4 ) To avoid an increased risk of rash, the recommended initial dose and subsequent dose escalations should not be exceeded. ( 2.1 , 16 ) Do not restart lamotrigine in patients",NOT_IN_CACHE
01ea3007-632d-5839-a5f6-ca3a630a1428,Celecoxib,BAD_LLM_RESPONSE,5432,True,True,False,2.1 General Dosing Instructions Carefully consider the potential benefits and risks of celecoxib capsules and other treatment options before deciding to use celecoxib capsules. Use the lowest effective dosage for the shortest duration consistent with individual patient treatment goals [see Warnings ,NOT_IN_CACHE
0270fee8-a318-54ae-a097-0c1cc7131966,VALACYCLOVIR,BAD_LLM_RESPONSE,9332,True,True,False,2 DOSAGE AND ADMINISTRATION • Valacyclovir tablets may be given without regard to meals. • Valacyclovir oral suspension (25 mg/mL or 50 mg/mL) may be prepared extemporaneously from 500-mg valacyclovir tablets for use in pediatric patients for whom a solid dosage form is not appropriate [see Dosage a,NOT_IN_CACHE
027dcc70-c669-5961-8815-b5359f7dd7f5,,BAD_LLM_RESPONSE,24338,True,True,False,"2 DOSAGE AND ADMINISTRATION Dosing is based on concomitant medications, indication, and patient age. ( 2.2 , 2.4 ) To avoid an increased risk of rash, the recommended initial dose and subsequent dose escalations should not be exceeded. LAMOTRIGINE Starter Kits are available for the first 5 weeks of ",NOT_IN_CACHE
03130f72-ab39-56f4-a0c9-5aa6a503af4a,VALACYCLOVIR HYDROCHLORIDE,BAD_LLM_RESPONSE,8667,True,True,False,2 DOSAGE AND ADMINISTRATION • Valacyclovir tablets may be given without regard to meals. Valacyclovir oral suspension (25 mg/mL or 50 mg/mL) may be prepared extemporaneously from 500 mg valacyclovir tablets for use in pediatric patients for whom a solid dosage form is not appropriate [see Dosage and,NOT_IN_CACHE
0322c32d-50ba-56d1-9e04-8c37680cf7bd,PREGABALIN,BAD_LLM_RESPONSE,9469,True,True,False,"2 DOSAGE AND ADMINISTRATION For adult indications, begin dosing at 150 mg/day. For partial-onset seizure dosing in pediatric patients 1 month of age and older, refer to section 2.4 . ( 2.2 , 2.3 , 2.4 , 2.5 , 2.6 ) Dosing recommendations: INDICATION D o sing R egi m en M a x i m u m Dose DPN Pain (2",NOT_IN_CACHE
032b7d54-a8d8-5d4b-ae63-675f14a71bda,Levofloxacin,BAD_LLM_RESPONSE,13255,True,True,False,"2 DOSAGE AND ADMINISTRATION 2.1 Dosage in Adult Patients with Normal Renal Function The usual dose of levofloxacin tablets is 250 mg, 500 mg, or 750 mg administered orally every 24 hours, as indicated by infection and described in Table 1. These recommendations apply to patients with creatinine clea",NOT_IN_CACHE
033a9d24-2882-5e09-b7fd-16d05942fa1f,GABAPENTIN,BAD_LLM_RESPONSE,5872,True,True,False,"2 DOSAGE AND ADMINISTRATION Postherpetic Neuralgia ( 2.1 ) Dose can be titrated up as needed to a dose of 1800 mg/day Day 1: Single 300 mg dose Day 2: 600 mg/day (i.e., 300 mg two times a day) Day 3: 900 mg/day (i.e., 300 mg three times a day) Epilepsy with Partial Onset Seizures ( 2.2 ) Patients 12",NOT_IN_CACHE
033d1860-7364-5655-8dbf-c731a05959cd,ROCURONIUM BROMIDE,BAD_LLM_RESPONSE,16708,True,True,False,"2 DOSAGE AND ADMINISTRATION To be administered only by experienced clinicians or adequately trained individuals supervised by an experienced clinician familiar with the use, actions, characteristics, and complications of neuromuscular blocking agents ( 2.1 ) • Individualize the dose for each patient",NOT_IN_CACHE
03449d49-5c45-51d0-b20f-bff6862c62ce,Valacyclovir hydrochloride,BAD_LLM_RESPONSE,8754,True,True,False,2. DOSAGE AND ADMINISTRATION Adult Dosage ( 2.1 ) Cold Sores 2 grams every 12 hours for 1 day Genital Herpes Initial episode 1 gram twice daily for 10 days Recurrent episodes 500 mg twice daily for 3 days Suppressive therapy Immunocompetent patients Alternate dose in patients with ≤9 recurrences/yr ,NOT_IN_CACHE
034a406a-e32c-5045-858f-1f3dd07aca59,LAMOTRIGINE,BAD_LLM_RESPONSE,27621,True,True,False,"2 DOSAGE AND ADMINISTRATION • Dosing is based on concomitant medications, indication, and patient age. ( 2.1 , 2.2 , 2.3 , 2.4 ) • To avoid an increased risk of rash, the recommended initial dose and subsequent dose escalations should not be exceeded. ( 2.1 , 16 ) • Do not restart lamotrigine tablet",NOT_IN_CACHE
035719e6-6038-586f-aa5f-7c06906a326a,LEVOFLOXACIN,BAD_LLM_RESPONSE,10153,True,True,False,"2 DOSAGE AND ADMINISTRATION • Administer levofloxacin tablets to pediatric patients weighing 30 kg and greater only ( 2.1 , 2.2 ). • Levofloxacin tablets cannot be administered to pediatric patients who weigh less than 30 kg because of the limitations of the available strengths. Alternative formulat",NOT_IN_CACHE
0358efe4-66a4-5a1d-9003-12ce57e54b36,LAMOTRIGINE,BAD_LLM_RESPONSE,27180,True,True,False,"2 DOSAGE AND ADMINISTRATION Dosing is based on concomitant medications, indication, and patient age. ( 2.1 , 2.2 , 2.3 , 2.4 ) To avoid an increased risk of rash, the recommended initial dose and subsequent dose escalations should not be exceeded. Do not restart lamotrigine in patients who discontin",NOT_IN_CACHE
036f5bac-0a06-51e7-9947-86ec0ea6c0db,DOCETAXEL ANHYDROUS,BAD_LLM_RESPONSE,19859,True,True,False,"2 DOSAGE AND ADMINISTRATION For all indications, toxicities may warrant dosage adjustments [see Dosage and Administration ( 2.7 )] . Administer in a facility equipped to manage possible complications (e.g. anaphylaxis). Administer in a facility equipped to manage possible complications (e.g., anaphy",NOT_IN_CACHE
0388427f-a483-58d3-84cd-74b48db8edbb,Ciprofloxacin,BAD_LLM_RESPONSE,11162,True,True,False,2 DOSAGE AND ADMINISTRATION Ciprofloxacin tablets should be administered orally as described in the appropriate Dosage Guidelines tables. Adult Dosage Guidelines Infection Dose Frequency Duration Skin and Skin Structure 500 to 750 mg every 12 hours 7 to 14 days Bone and Joint 500 to 750 mg every 12 ,NOT_IN_CACHE
03a6fedb-0303-5c9a-9bf6-0dc517bb0e4b,Fluoxetine,BAD_LLM_RESPONSE,15994,True,True,False,2 DOSAGE AND ADMINISTRATION Indication Adult Pediatric MDD (2.1) 20 mg/day in am (initial dose) 10 to 20 mg/day (initial dose) OCD (2.2) 20 mg/day in am (initial dose) 10 mg/day (initial dose) Bulimia Nervosa (2.3) 60 mg/day in am - Panic Disorder (2.4) 10 mg/day (initial dose) - Depressive Episodes,NOT_IN_CACHE
03ab7f41-e984-57a8-a351-7b9be96d90cb,PREGABALIN,BAD_LLM_RESPONSE,8885,True,True,False,"2 DOSAGE AND ADMINISTRATION • For adult indications, begin dosing at 150 mg/day. For partial-onset seizure dosing in pediatric patients 1 month of age and older, refer to section 2.4. ( 2.2 , 2.3 , 2.4 , 2.5 , 2.6 ) • Dosing recommendations: INDICATION Dosing Regimen Maximum Dose DPN Pain ( 2.2 ) 3 ",NOT_IN_CACHE
03b519f4-76c3-547d-9685-fb3c68aad847,Venlafaxine hydrochloride extended-release,BAD_LLM_RESPONSE,7074,True,True,False,2 DOSAGE AND ADMINISTRATION Indication Starting Dose Target Dose Maximum Dose MDD ( 2.2 ) 37.5 to 75 mg/day 75 mg/day 225 mg/day GAD ( 2.3 ) 37.5 to 75 mg/day 75 mg/day 225 mg/day SAD ( 2.4 ) 75 mg/day 75 mg/day 75 mg/day PD ( 2.5 ) 37.5 mg/day 75 mg/day 225 mg/day Take once daily with food. Capsule,NOT_IN_CACHE
03c86a66-9b57-5610-b094-7ebc4f9c9528,SULFAMETHOXAZOLE AND TRIMETHOPRIM,BAD_LLM_RESPONSE,4198,True,True,False,"DOSAGE AND ADMINISTRATION BACTRIM is contraindicated in pediatric patients less than 2 months of age. Urinary Tract Infections and Shigellosis in Adults and Pediatric Patients, and Acute Otitis Media in Children Adults: The usual adult dosage in the treatment of urinary tract infections is 1 BACTRIM",NOT_IN_CACHE
03caf1ab-b042-5ee7-857f-84f40ebb25bd,AMOXICILLIN,BAD_LLM_RESPONSE,6184,True,True,False,"2 DOSAGE AND ADMINISTRATION In Adults, 750 to 1750 mg/day in divided doses every 8 to 12 hours. In Pediatric Patients over 3 Months of Age, 20 to 45 mg/kg/day in divided doses every 8 to 12 hours. Refer to full prescribing information for specific dosing regimens. ( 2.2 , 2.3) The upper dose for neo",NOT_IN_CACHE
03e74440-c913-5084-b4c7-a5e003c5e328,SERTRALINE HYDROCHLORIDE,BAD_LLM_RESPONSE,5084,True,True,False,"2 DOSAGE AND ADMINISTRATION ­Indication Starting Dosage Maximum Dosage MDD ( 2.1 ) 50 mg per day 200 mg per day OCD ( 2.1 ) 25 mg per day (ages 6 to 12) 50 mg per day (ages ≥ 13) 200 mg per day PD, PTSD, SAD ( 2.1 ) 25 mg per day 200 mg per day PMDD ( 2.2 ) continuous dosing 50 mg per day 150 mg per",NOT_IN_CACHE
040455a1-6897-53fd-b1fe-c461d02212cf,sertraline hydrochloride,BAD_LLM_RESPONSE,5084,True,True,False,"2 DOSAGE AND ADMINISTRATION ­Indication Starting Dosage Maximum Dosage MDD ( 2.1 ) 50 mg per day 200 mg per day OCD ( 2.1 ) 25 mg per day (ages 6 to 12) 50 mg per day (ages ≥ 13) 200 mg per day PD, PTSD, SAD ( 2.1 ) 25 mg per day 200 mg per day PMDD ( 2.2 ) continuous dosing 50 mg per day 150 mg per",NOT_IN_CACHE
040bc307-2473-55ab-9b77-662a85f27e76,PREGABALIN,BAD_LLM_RESPONSE,9282,True,True,False,"2 DOSAGE AND ADMINISTRATION For adult indications, begin dosing at 150 mg/day. For partial-onset seizure dosing in pediatric patients 1 month of age and older, refer to section 2.4. (2.2 , 2.3 , 2.4 , 2.5 , 2.6 ) Dosing recommendations: INDICATION Dosing Regimen Maximum Dose DPN Pain (2.2) 3 divided",NOT_IN_CACHE
04209739-7e7b-58dd-948e-24c876b448b4,"METHYLPREDNISOLONE ACETATE, BUPIVACAINE HYDROCHLORIDE, POVIDONE-IODINE",BAD_LLM_RESPONSE,19670,True,True,False,"[""2 DOSAGE AND ADMINISTRATION Not for intrathecal use. ( 2.1 ) Avoid use of solutions containing antimicrobial preservatives (i.e., multiple-dose vials) for epidural or caudal anesthesia. ( 2.1 ) See full prescribing information for: - Recommended concentrations and dosages of Bupivacaine Hydrochlor",NOT_IN_CACHE
042ebecb-a1dd-5d7e-b536-8f867a52f018,ondansetron base,BAD_LLM_RESPONSE,5870,True,True,False,"DOSAGE AND ADMINISTRATION Instructions for Use/Handling Ondansetron Orally Disintegrating Tablets: Do not attempt to push ondansetron orally disintegrating tablets through the foil backing. With dry hands, PEEL BACK the foil backing of 1 blister and GENTLY remove the tablet. IMMEDIATELY place the on",NOT_IN_CACHE
043bb990-64ff-5be4-809b-076670aa577e,SERTRALINE HYDROCHLORIDE,BAD_LLM_RESPONSE,5183,True,True,False,"2 DOSAGE AND ADMINISTRATION ­Indication Starting Dosage Maximum Dosage MDD (2.1) 50 mg per day 200 mg per day OCD (2.1) 25 mg per day (ages 6 to 12) 50 mg per day (ages ≥ 13) 200 mg per day PD, PTSD, SAD (2.1) 25 mg per day 200 mg per day PMDD (2.2) continuous dosing 50 mg per day 150 mg per day PMD",NOT_IN_CACHE
045238aa-7b71-550f-9ac6-9a029e737611,Ciprofloxacin,BAD_LLM_RESPONSE,9367,True,True,False,2 DOSAGE AND ADMINISTRATION Ciprofloxacin tablets should be administered orally as described in the appropriate Dosage Guidelines tables. Adult Dosage Guidelines Infection Dose Frequency Duration Skin and Skin Structure 500 to 750 mg every 12 hours 7 to 14 days Bone and Joint 500 to 750 mg every 12 ,NOT_IN_CACHE
0492b562-4136-5ad8-9565-e7a048a370cf,OSELTAMIVIR PHOSPHATE,BAD_LLM_RESPONSE,14572,True,True,False,2 DOSAGE AND ADMINISTRATION Treatment of influenza Adults and adolescents (13 years and older): 75 mg twice daily for 5 days ( 2.2 ) Pediatric patients 1 to 12 years of age: Based on weight twice daily for 5 days ( 2.2 ) Pediatric patients 2 weeks to less than 1 year of age: 3 mg/kg twice daily for ,NOT_IN_CACHE
